id,name,link,status
633640264,HMCL 用户群 ①,https://qm.qq.com/q/fvJueufsvC,已满
203232161,HMCL 用户群 ②,https://qm.qq.com/q/N7hgdNYfy,
201034984,HMCL 用户群 ③,https://qm.qq.com/q/7sbMrFm9CE,已满
533529045,HMCL 用户群 ④,https://qm.qq.com/q/ACmZa98tGg,已满
744304553,HMCL 用户群 ⑤,https://qm.qq.com/q/MlVArSCMwM,
282845310,HMCL 用户群 ⑥,https://qm.qq.com/q/S782Skmu0U,已满
482624681,HMCL 用户群 ⑦,https://qm.qq.com/q/WFsZ65F6MY,
991620626,HMCL 用户群 ⑧,https://qm.qq.com/q/ECVKkslPqi,已满
657677715,HMCL 用户群 ⑨,https://qm.qq.com/q/DVj9tTrwze,
775084843,HMCL 用户群 ⑩,https://qm.qq.com/q/V5F9DswQEu,已满
